計費方式,資料集說明網址,分類及編號,資料集提供機關聯絡人,收錄期間(迄),計費說明網址,資料集描述,授權方式,資料名稱,收錄期間(起),計費法令依據,更新頻率,資料連結網址,編碼格式,編號,資料集類型,資料集提供機關電話,檔案格式,資料集提供機關,標籤/關鍵字,最後更新時間,主要欄位,主要欄位說明,建立日期,資料來源,備註,資料量,資料集提供機關聯絡人電子郵件
免費,,老年安養,吳祐綺,,無,銀髮族服務-公立老人安養護機構,依臺北市政府資料開放使用規範,臺北市銀髮族服務-公立老人安養護機構,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=28c08fda-c7d1-4485-9791-8effde726635,"UTF-8,",14,原始資料,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,2,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-公設民營老人安養護機構,依臺北市政府資料開放使用規範,臺北市銀髮族服務-公設民營老人安養護機構,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=f59b76f0-9c63-4242-9d1e-19364de95814,"UTF-8,",15,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-老人公寓,依臺北市政府資料開放使用規範,臺北市銀髮族服務-老人公寓,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=cef4eddf-7d49-46ea-b94c-33fcde55218a,"UTF-8,",16,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-老人活動據點,依臺北市政府資料開放使用規範,臺北市銀髮族服務-老人活動據點,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=cd62abcb-f489-4857-a110-de451ee84302,"UTF-8,",17,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-老人營養餐飲,依臺北市政府資料開放使用規範,臺北市銀髮族服務-老人營養餐飲,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=e3cec007-4212-4944-989e-5078e4f5f3bb,"UTF-8,",18,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-私立老人安養護機構,依臺北市政府資料開放使用規範,臺北市銀髮族服務-私立老人安養護機構,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=99daa736-36c6-4957-884d-45cf81dc5745,"UTF-8,",19,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-居家服務,依臺北市政府資料開放使用規範,臺北市銀髮族服務-居家服務,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=40c16fac-ff03-4da7-91a0-75272f732149,"UTF-8,",20,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-社區照顧關懷據點,依臺北市政府資料開放使用規範,臺北市銀髮族服務-社區照顧關懷據點,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=d082dc87-d3fd-479d-89c6-745ff1be955a,"UTF-8,",21,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-長青學苑,依臺北市政府資料開放使用規範,臺北市銀髮族服務-長青學苑,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=67b63404-89b8-4214-8096-3322204144e6,"UTF-8,",22,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-臺北市各老人服務中心,依臺北市政府資料開放使用規範,臺北市銀髮族服務-臺北市各老人服務中心,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=78dfc9a2-36e2-4ef5-beaa-a74633ba3d26,"UTF-8,",23,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-臺北市各區公所,依臺北市政府資料開放使用規範,臺北市銀髮族服務-臺北市各區公所,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=f17b2bdc-1cff-4caf-83fb-561b3d272f00,"UTF-8,",24,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-臺北市老人日間照顧中心,依臺北市政府資料開放使用規範,臺北市銀髮族服務-臺北市老人日間照顧中心,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=c8ac5650-2a3a-4d80-8cb0-d26f89f7395f,"UTF-8,",25,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-臺北市長期照顧管理中心,依臺北市政府資料開放使用規範,臺北市銀髮族服務-臺北市長期照顧管理中心,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=61a6449b-9a0e-4b1c-848b-81bb22350379,"UTF-8,",26,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:57,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,銀髮族服務-銀髮友善好站,依臺北市政府資料開放使用規範,臺北市銀髮族服務-銀髮友善好站,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=2d32278e-7606-4ac2-bdb7-ef3bfd8461be,"UTF-8,",27,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:05,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:58,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
